Nombre,Habitantes,CodigoPostal,Provincia,Division,Pais
Salobre,442,02070,Albacete,Castilla-La Mancha,España
San Pedro,1155,02071,Albacete,Castilla-La Mancha,España
Socovos,1643,02072,Albacete,Castilla-La Mancha,España
Tarazona de la Mancha,6100,02073,Albacete,Castilla-La Mancha,España
Tobarra,8006,02074,Albacete,Castilla-La Mancha,España
Valdeganga,1970,02075,Albacete,Castilla-La Mancha,España
Vianos,317,02076,Albacete,Castilla-La Mancha,España
Villa de Ves,51,02077,Albacete,Castilla-La Mancha,España
Villalgordo del Júcar,1159,02078,Albacete,Castilla-La Mancha,España
Villamalea,4083,02079,Albacete,Castilla-La Mancha,España
Villapalacios,539,02080,Albacete,Castilla-La Mancha,España
Villarrobledo,25400,02081,Albacete,Castilla-La Mancha,España
Villatoya,114,02082,Albacete,Castilla-La Mancha,España
Villavaliente,190,02083,Albacete,Castilla-La Mancha,España
Villaverde de Guadalimar,325,02084,Albacete,Castilla-La Mancha,España
Viveros,293,02085,Albacete,Castilla-La Mancha,España
Yeste,2471,02086,Albacete,Castilla-La Mancha,España
Pozo Cañada,2704,02901,Albacete,Castilla-La Mancha,España
l' Atzúbia,589,03001,Alicante,Comunidad Valenciana,España
Agost,5225,03002,Alicante,Comunidad Valenciana,España
Agres,623,03003,Alicante,Comunidad Valenciana,España
Aigües,1199,03004,Alicante,Comunidad Valenciana,España
Albatera,13566,03005,Alicante,Comunidad Valenciana,España
Alcalalí,1428,03006,Alicante,Comunidad Valenciana,España
Alcosser,263,03007,Alicante,Comunidad Valenciana,España
Alcoleja,184,03008,Alicante,Comunidad Valenciana,España
Alcoi,61468,03009,Alicante,Comunidad Valenciana,España
Alfafara,419,03010,Alicante,Comunidad Valenciana,España
l' Alfàs del Pi,21080,03011,Alicante,Comunidad Valenciana,España
Algorfa,3788,03012,Alicante,Comunidad Valenciana,España
Algueña,1328,03013,Alicante,Comunidad Valenciana,España
Alacant,366221,03014,Alicante,Comunidad Valenciana,España
Almoradí,22965,03015,Alicante,Comunidad Valenciana,España
Almudaina,128,03016,Alicante,Comunidad Valenciana,España
l' Alqueria d'Asnar,519,03017,Alicante,Comunidad Valenciana,España
Altea,24592,03018,Alicante,Comunidad Valenciana,España
Aspe,22397,03019,Alicante,Comunidad Valenciana,España
Balones,132,03020,Alicante,Comunidad Valenciana,España
Banyeres de Mariola,7347,03021,Alicante,Comunidad Valenciana,España
Benasau,174,03022,Alicante,Comunidad Valenciana,España
Beneixama,1696,03023,Alicante,Comunidad Valenciana,España
Benejúzar,5811,03024,Alicante,Comunidad Valenciana,España
Benferri,2099,03025,Alicante,Comunidad Valenciana,España
Beniarbeig,2499,03026,Alicante,Comunidad Valenciana,España
Beniardà,226,03027,Alicante,Comunidad Valenciana,España
Beniarrés,1117,03028,Alicante,Comunidad Valenciana,España
Benigembla,590,03029,Alicante,Comunidad Valenciana,España
Benidoleig,1245,03030,Alicante,Comunidad Valenciana,España
Benidorm,77327,03031,Alicante,Comunidad Valenciana,España
Benifallim,130,03032,Alicante,Comunidad Valenciana,España
Benifato,162,03033,Alicante,Comunidad Valenciana,España
Benijófar,3679,03034,Alicante,Comunidad Valenciana,España
Benilloba,744,03035,Alicante,Comunidad Valenciana,España
Benillup,110,03036,Alicante,Comunidad Valenciana,España
Benimantell,548,03037,Alicante,Comunidad Valenciana,España
Benimarfull,465,03038,Alicante,Comunidad Valenciana,España
Benimassot,85,03039,Alicante,Comunidad Valenciana,España
Benimeli,474,03040,Alicante,Comunidad Valenciana,España
Benissa,12471,03041,Alicante,Comunidad Valenciana,España
el,4911,03042,Alicante,Comunidad Valenciana,España
Biar,3677,03043,Alicante,Comunidad Valenciana,España
Bigastro,7537,03044,Alicante,Comunidad Valenciana,España
Bolulla,490,03045,Alicante,Comunidad Valenciana,España
Busot,3782,03046,Alicante,Comunidad Valenciana,España
Calp,27616,03047,Alicante,Comunidad Valenciana,España
Callosa d'en Sarrià,8182,03048,Alicante,Comunidad Valenciana,España
Callosa de Segura,19988,03049,Alicante,Comunidad Valenciana,España
el Campello,31419,03050,Alicante,Comunidad Valenciana,España
el,447,03051,Alicante,Comunidad Valenciana,España
Cañada,1213,03052,Alicante,Comunidad Valenciana,España
Castalla,11908,03053,Alicante,Comunidad Valenciana,España
Castell de Castells,443,03054,Alicante,Comunidad Valenciana,España
Catral,9600,03055,Alicante,Comunidad Valenciana,España
Cocentaina,11498,03056,Alicante,Comunidad Valenciana,España
Confrides,293,03057,Alicante,Comunidad Valenciana,España
Cox,7722,03058,Alicante,Comunidad Valenciana,España
Crevillent,30921,03059,Alicante,Comunidad Valenciana,España
Quatretondeta,130,03060,Alicante,Comunidad Valenciana,España
Daya Nueva,1885,03061,Alicante,Comunidad Valenciana,España
Daya Vieja,698,03062,Alicante,Comunidad Valenciana,España
Dénia,47261,03063,Alicante,Comunidad Valenciana,España
Dolores,8326,03064,Alicante,Comunidad Valenciana,España
Elx,245557,03065,Alicante,Comunidad Valenciana,España
Elda,55222,03066,Alicante,Comunidad Valenciana,España
Fageca,100,03067,Alicante,Comunidad Valenciana,España
Famorca,44,03068,Alicante,Comunidad Valenciana,España
Finestrat,9919,03069,Alicante,Comunidad Valenciana,España
Formentera del Segura,4868,03070,Alicante,Comunidad Valenciana,España
Gata de Gorgos,6773,03071,Alicante,Comunidad Valenciana,España
Gaianes,577,03072,Alicante,Comunidad Valenciana,España
Gorga,286,03073,Alicante,Comunidad Valenciana,España
Granja de Rocamora,2728,03074,Alicante,Comunidad Valenciana,España
el Castell de Guadalest,284,03075,Alicante,Comunidad Valenciana,España
Guardamar del Segura,18564,03076,Alicante,Comunidad Valenciana,España
el,2738,03077,Alicante,Comunidad Valenciana,España
Hondón de los Frailes,1334,03078,Alicante,Comunidad Valenciana,España
Ibi,24500,03079,Alicante,Comunidad Valenciana,España
Jacarilla,2176,03080,Alicante,Comunidad Valenciana,España
Xaló,3104,03081,Alicante,Comunidad Valenciana,España
Xàbia,30642,03082,Alicante,Comunidad Valenciana,España
Xixona,7669,03083,Alicante,Comunidad Valenciana,España
l',589,03084,Alicante,Comunidad Valenciana,España
Llíber,882,03085,Alicante,Comunidad Valenciana,España
Millena,265,03086,Alicante,Comunidad Valenciana,España
Monforte del Cid,9283,03088,Alicante,Comunidad Valenciana,España
Monòver,13116,03089,Alicante,Comunidad Valenciana,España
Mutxamel,28621,03090,Alicante,Comunidad Valenciana,España
Murla,574,03091,Alicante,Comunidad Valenciana,España
Muro de Alcoy,9372,03092,Alicante,Comunidad Valenciana,España
Novelda,26606,03093,Alicante,Comunidad Valenciana,España
la Nucia,19121,03094,Alicante,Comunidad Valenciana,España
Ondara,7717,03095,Alicante,Comunidad Valenciana,España
Onil,8114,03096,Alicante,Comunidad Valenciana,España
Orba,2399,03097,Alicante,Comunidad Valenciana,España
Orxeta,906,03098,Alicante,Comunidad Valenciana,España
Orihuela,84560,03099,Alicante,Comunidad Valenciana,España
Parcent,1037,03100,Alicante,Comunidad Valenciana,España
Pedreguer,8849,03101,Alicante,Comunidad Valenciana,España
Pego,10791,03102,Alicante,Comunidad Valenciana,España
Penàguila,305,03103,Alicante,Comunidad Valenciana,España
Petrer,34022,03104,Alicante,Comunidad Valenciana,España
el,8523,03105,Alicante,Comunidad Valenciana,España
Planes,697,03106,Alicante,Comunidad Valenciana,España
Polop,5828,03107,Alicante,Comunidad Valenciana,España
Rafal,4849,03109,Alicante,Comunidad Valenciana,España
el Ràfol d'Almúnia,734,03110,Alicante,Comunidad Valenciana,España
Redován,8283,03111,Alicante,Comunidad Valenciana,España
Relleu,1375,03112,Alicante,Comunidad Valenciana,España
Rojales,17652,03113,Alicante,Comunidad Valenciana,España
la Romana,2729,03114,Alicante,Comunidad Valenciana,España
Sagra,441,03115,Alicante,Comunidad Valenciana,España
Salinas,1828,03116,Alicante,Comunidad Valenciana,España
Sanet y Negrals,712,03117,Alicante,Comunidad Valenciana,España
San Fulgencio,9769,03118,Alicante,Comunidad Valenciana,España
Sant Joan d'Alacant,26834,03119,Alicante,Comunidad Valenciana,España
San Miguel de Salinas,7177,03120,Alicante,Comunidad Valenciana,España
Santa Pola,39709,03121,Alicante,Comunidad Valenciana,España
Sant Vicent del Raspeig,60247,03122,Alicante,Comunidad Valenciana,España
Sax,10346,03123,Alicante,Comunidad Valenciana,España
Sella,621,03124,Alicante,Comunidad Valenciana,España
Senija,698,03125,Alicante,Comunidad Valenciana,España
Tàrbena,662,03127,Alicante,Comunidad Valenciana,España
Teulada,12912,03128,Alicante,Comunidad Valenciana,España
Tibi,1757,03129,Alicante,Comunidad Valenciana,España
Tollos,32,03130,Alicante,Comunidad Valenciana,España
Tormos,323,03131,Alicante,Comunidad Valenciana,España
la,749,03132,Alicante,Comunidad Valenciana,España
Torrevieja,98533,03133,Alicante,Comunidad Valenciana,España
la Vall d'Alcalà,159,03134,Alicante,Comunidad Valenciana,España
la Vall d'Ebo,231,03135,Alicante,Comunidad Valenciana,España
la Vall de Gallinera,583,03136,Alicante,Comunidad Valenciana,España
la Vall de Laguar,905,03137,Alicante,Comunidad Valenciana,España
el Verger,5508,03138,Alicante,Comunidad Valenciana,España
la,37449,03139,Alicante,Comunidad Valenciana,España
Villena,34712,03140,Alicante,Comunidad Valenciana,España
els Poblets,2757,03901,Alicante,Comunidad Valenciana,España
Pilar de la Horadada,24316,03902,Alicante,Comunidad Valenciana,España
Los Montesinos,5786,03903,Alicante,Comunidad Valenciana,España
San Isidro,2337,03904,Alicante,Comunidad Valenciana,España
Abla,1268,04001,Almería,Andalucía,España
Abrucena,1241,04002,Almería,Andalucía,España
Adra,25501,04003,Almería,Andalucía,España
Albanchez,688,04004,Almería,Andalucía,España
Alboloduy,579,04005,Almería,Andalucía,España
Albox,12799,04006,Almería,Andalucía,España
Alcolea,829,04007,Almería,Andalucía,España
Alcóntar,545,04008,Almería,Andalucía,España
Alcudia de Monteagud,115,04009,Almería,Andalucía,España
Alhabia,743,04010,Almería,Andalucía,España
Alhama de Almería,3975,04011,Almería,Andalucía,España
Alicún,206,04012,Almería,Andalucía,España
Almería,205468,04013,Almería,Andalucía,España
Almócita,208,04014,Almería,Andalucía,España
Alsodux,126,04015,Almería,Andalucía,España
Antas,3472,04016,Almería,Andalucía,España
Arboleas,4215,04017,Almería,Andalucía,España
Armuña de Almanzora,371,04018,Almería,Andalucía,España
Bacares,226,04019,Almería,Andalucía,España
Bayárcal,294,04020,Almería,Andalucía,España
Bayarque,215,04021,Almería,Andalucía,España
Bédar,953,04022,Almería,Andalucía,España
Beires,140,04023,Almería,Andalucía,España
Benahadux,4901,04024,Almería,Andalucía,España
Benitagla,63,04026,Almería,Andalucía,España
Benizalón,242,04027,Almería,Andalucía,España
Bentarique,223,04028,Almería,Andalucía,España
Berja,13120,04029,Almería,Andalucía,España
Canjáyar,1139,04030,Almería,Andalucía,España
Cantoria,3592,04031,Almería,Andalucía,España
Carboneras,8458,04032,Almería,Andalucía,España
Castro de Filabres,101,04033,Almería,Andalucía,España
Cóbdar,169,04034,Almería,Andalucía,España
Cuevas del Almanzora,15526,04035,Almería,Andalucía,España
Chercos,301,04036,Almería,Andalucía,España
Chirivel,1619,04037,Almería,Andalucía,España
Dalías,4196,04038,Almería,Andalucía,España
Enix,612,04041,Almería,Andalucía,España
Felix,771,04043,Almería,Andalucía,España
Fines,2404,04044,Almería,Andalucía,España
Fiñana,1956,04045,Almería,Andalucía,España
Fondón,1152,04046,Almería,Andalucía,España
Gádor,3130,04047,Almería,Andalucía,España
Los Gallardos,3110,04048,Almería,Andalucía,España
Garrucha,10845,04049,Almería,Andalucía,España
Gérgal,1211,04050,Almería,Andalucía,España
Huécija,526,04051,Almería,Andalucía,España
Huércal de Almería,18660,04052,Almería,Andalucía,España
Huércal-Overa,20860,04053,Almería,Andalucía,España
Íllar,492,04054,Almería,Andalucía,España
Instinción,507,04055,Almería,Andalucía,España
Laroya,197,04056,Almería,Andalucía,España
Laujar de Andarax,1674,04057,Almería,Andalucía,España
Líjar,378,04058,Almería,Andalucía,España
Lubrín,1434,04059,Almería,Andalucía,España
Lucainena de las Torres,722,04060,Almería,Andalucía,España
Lúcar,829,04061,Almería,Andalucía,España
Macael,5436,04062,Almería,Andalucía,España
María,1202,04063,Almería,Andalucía,España
Mojácar,7680,04064,Almería,Andalucía,España
Nacimiento,485,04065,Almería,Andalucía,España
Níjar,33319,04066,Almería,Andalucía,España
Ohanes,553,04067,Almería,Andalucía,España
Olula de Castro,175,04068,Almería,Andalucía,España
Olula del Río,6506,04069,Almería,Andalucía,España
Oria,2219,04070,Almería,Andalucía,España
Padules,438,04071,Almería,Andalucía,España
Partaloa,836,04072,Almería,Andalucía,España
Paterna del Río,399,04073,Almería,Andalucía,España
Pechina,4552,04074,Almería,Andalucía,España
Pulpí,12214,04075,Almería,Andalucía,España
Purchena,1563,04076,Almería,Andalucía,España
Rágol,297,04077,Almería,Andalucía,España
Rioja,1609,04078,Almería,Andalucía,España
Roquetas de Mar,111240,04079,Almería,Andalucía,España
Santa Cruz de Marchena,236,04080,Almería,Andalucía,España
Santa Fe de Mondújar,503,04081,Almería,Andalucía,España
Senés,279,04082,Almería,Andalucía,España
Serón,2151,04083,Almería,Andalucía,España
Sierro,364,04084,Almería,Andalucía,España
Somontín,497,04085,Almería,Andalucía,España
Sorbas,2564,04086,Almería,Andalucía,España
Suflí,224,04087,Almería,Andalucía,España
Tabernas,3991,04088,Almería,Andalucía,España
Taberno,955,04089,Almería,Andalucía,España
Tahal,355,04090,Almería,Andalucía,España
Terque,393,04091,Almería,Andalucía,España
Tíjola,3573,04092,Almería,Andalucía,España
Turre,4361,04093,Almería,Andalucía,España
Turrillas,256,04094,Almería,Andalucía,España
Uleila del Campo,815,04095,Almería,Andalucía,España
Urrácal,340,04096,Almería,Andalucía,España
Velefique,230,04097,Almería,Andalucía,España
Vélez-Blanco,1928,04098,Almería,Andalucía,España
Vélez-Rubio,6685,04099,Almería,Andalucía,España
Vera,20282,04100,Almería,Andalucía,España
Viator,6339,04101,Almería,Andalucía,España
Vícar,29342,04102,Almería,Andalucía,España
Zurgena,3059,04103,Almería,Andalucía,España
Las Tres Villas,547,04901,Almería,Andalucía,España
El Ejido,91440,04902,Almería,Andalucía,España
La Mojonera,8793,04903,Almería,Andalucía,España
Balanegra,3055,04904,Almería,Andalucía,España
Adanero,207,05001,Ávila,Castilla y León,España
La Adrada,2853,05002,Ávila,Castilla y León,España
Albornos,170,05005,Ávila,Castilla y León,España
Aldeanueva de Santa Cruz,100,05007,Ávila,Castilla y León,España
Aldeaseca,211,05008,Ávila,Castilla y León,España
La Aldehuela,141,05010,Ávila,Castilla y León,España
Amavida,131,05012,Ávila,Castilla y León,España
El Arenal,961,05013,Ávila,Castilla y León,España
Arenas de San Pedro,6460,05014,Ávila,Castilla y León,España
Arevalillo,58,05015,Ávila,Castilla y León,España
Arévalo,7851,05016,Ávila,Castilla y León,España
Aveinte,67,05017,Ávila,Castilla y León,España
Avellaneda,23,05018,Ávila,Castilla y León,España
Ávila,59107,05019,Ávila,Castilla y León,España
El Barco de Ávila,2308,05021,Ávila,Castilla y León,España
El Barraco,2086,05022,Ávila,Castilla y León,España
Barromán,174,05023,Ávila,Castilla y León,España
Becedas,146,05024,Ávila,Castilla y León,España
Becedillas,70,05025,Ávila,Castilla y León,España
Bercial de Zapardiel,166,05026,Ávila,Castilla y León,España
Las Berlanas,323,05027,Ávila,Castilla y León,España
Bernuy-Zapardiel,79,05029,Ávila,Castilla y León,España
Berrocalejo de Aragona,55,05030,Ávila,Castilla y León,España
Blascomillán,169,05033,Ávila,Castilla y León,España
Blasconuño de Matacabras,14,05034,Ávila,Castilla y León,España
Blascosancho,85,05035,Ávila,Castilla y León,España
El Bohodón,104,05036,Ávila,Castilla y León,España
Bohoyo,205,05037,Ávila,Castilla y León,España
Bonilla de la Sierra,139,05038,Ávila,Castilla y León,España
Brabos,34,05039,Ávila,Castilla y León,España
Bularros,55,05040,Ávila,Castilla y León,España
Burgohondo,1269,05041,Ávila,Castilla y León,España
Cabezas de Alambre,152,05042,Ávila,Castilla y León,España
Cabezas del Pozo,80,05043,Ávila,Castilla y León,España
Cabezas del Villar,217,05044,Ávila,Castilla y León,España
Cabizuela,89,05045,Ávila,Castilla y León,España
Canales,42,05046,Ávila,Castilla y León,España
Candeleda,5003,05047,Ávila,Castilla y León,España
Cantiveros,102,05048,Ávila,Castilla y León,España
Cardeñosa,430,05049,Ávila,Castilla y León,España
La Carrera,155,05051,Ávila,Castilla y León,España
Casas del Puerto,80,05052,Ávila,Castilla y León,España
Casasola,67,05053,Ávila,Castilla y León,España
Casavieja,1362,05054,Ávila,Castilla y León,España
Casillas,673,05055,Ávila,Castilla y León,España
Castellanos de Zapardiel,106,05056,Ávila,Castilla y León,España
Cebreros,3345,05057,Ávila,Castilla y León,España
Cepeda la Mora,63,05058,Ávila,Castilla y León,España
Cillán,84,05059,Ávila,Castilla y León,España
Cisla,107,05060,Ávila,Castilla y León,España
La Colilla,375,05061,Ávila,Castilla y León,España
Collado de Contreras,147,05062,Ávila,Castilla y León,España
Collado del Mirón,18,05063,Ávila,Castilla y León,España
Constanzana,104,05064,Ávila,Castilla y León,España
Crespos,463,05065,Ávila,Castilla y León,España
Cuevas del Valle,506,05066,Ávila,Castilla y León,España
Chamartín,61,05067,Ávila,Castilla y León,España
Donjimeno,69,05069,Ávila,Castilla y León,España
Donvidas,31,05070,Ávila,Castilla y León,España
Espinosa de los Caballeros,104,05072,Ávila,Castilla y León,España
Flores de Ávila,262,05073,Ávila,Castilla y León,España
Fontiveros,715,05074,Ávila,Castilla y León,España
Fresnedilla,92,05075,Ávila,Castilla y León,España
El Fresno,579,05076,Ávila,Castilla y León,España
Fuente el Saúz,146,05077,Ávila,Castilla y León,España
Fuentes de Año,90,05078,Ávila,Castilla y León,España
Gallegos de Altamiros,61,05079,Ávila,Castilla y León,España
Gallegos de Sobrinos,42,05080,Ávila,Castilla y León,España
Garganta del Villar,37,05081,Ávila,Castilla y León,España
Gavilanes,523,05082,Ávila,Castilla y León,España
Gemuño,147,05083,Ávila,Castilla y León,España
Gilbuena,45,05084,Ávila,Castilla y León,España
Gil García,45,05085,Ávila,Castilla y León,España
Gimialcón,73,05086,Ávila,Castilla y León,España
Gotarrendura,173,05087,Ávila,Castilla y León,España
Grandes y San Martín,34,05088,Ávila,Castilla y León,España
Guisando,458,05089,Ávila,Castilla y León,España
Gutierre-Muñoz,63,05090,Ávila,Castilla y León,España
Hernansancho,140,05092,Ávila,Castilla y León,España
Herradón de Pinares,526,05093,Ávila,Castilla y León,España
Herreros de Suso,141,05094,Ávila,Castilla y León,España
Higuera de las Dueñas,250,05095,Ávila,Castilla y León,España
La Hija de Dios,79,05096,Ávila,Castilla y León,España
La Horcajada,434,05097,Ávila,Castilla y León,España
Horcajo de las Torres,425,05099,Ávila,Castilla y León,España
El Hornillo,263,05100,Ávila,Castilla y León,España
Hoyocasero,294,05101,Ávila,Castilla y León,España
El Hoyo de Pinares,2179,05102,Ávila,Castilla y León,España
Hoyorredondo,57,05103,Ávila,Castilla y León,España
Hoyos del Collado,28,05104,Ávila,Castilla y León,España
Hoyos del Espino,350,05105,Ávila,Castilla y León,España
Hoyos de Miguel Muñoz,24,05106,Ávila,Castilla y León,España
Hurtumpascual,41,05107,Ávila,Castilla y León,España
Junciana,40,05108,Ávila,Castilla y León,España
Langa,441,05109,Ávila,Castilla y León,España
Lanzahíta,771,05110,Ávila,Castilla y León,España
El Losar del Barco,99,05112,Ávila,Castilla y León,España
Los Llanos de Tormes,57,05113,Ávila,Castilla y León,España
Madrigal de las Altas Torres,1281,05114,Ávila,Castilla y León,España
Maello,713,05115,Ávila,Castilla y León,España
Malpartida de Corneja,89,05116,Ávila,Castilla y León,España
Mamblas,191,05117,Ávila,Castilla y León,España
Mancera de Arriba,66,05118,Ávila,Castilla y León,España
Manjabálago y Ortigosa de Rioalmar,22,05119,Ávila,Castilla y León,España
Marlín,29,05120,Ávila,Castilla y León,España
Martiherrero,372,05121,Ávila,Castilla y León,España
Martínez,109,05122,Ávila,Castilla y León,España
Mediana de Voltoya,117,05123,Ávila,Castilla y León,España
Medinilla,79,05124,Ávila,Castilla y León,España
Mengamuñoz,60,05125,Ávila,Castilla y León,España
Mesegar de Corneja,62,05126,Ávila,Castilla y León,España
Mijares,718,05127,Ávila,Castilla y León,España
Mingorría,422,05128,Ávila,Castilla y León,España
El Mirón,93,05129,Ávila,Castilla y León,España
Mironcillo,110,05130,Ávila,Castilla y León,España
Mirueña de los Infanzones,86,05131,Ávila,Castilla y León,España
Mombeltrán,922,05132,Ávila,Castilla y León,España
Monsalupe,64,05133,Ávila,Castilla y León,España
Moraleja de Matacabras,55,05134,Ávila,Castilla y León,España
Muñana,499,05135,Ávila,Castilla y León,España
Muñico,77,05136,Ávila,Castilla y León,España
Muñogalindo,299,05138,Ávila,Castilla y León,España
Muñogrande,76,05139,Ávila,Castilla y León,España
